batch_id,event_id,event_class,station,audited_positive_channels,usable_channels,questionable_channels,rejected_channels,request_integrity_status
1,levent-00801,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00801,natural_impact,S14,SHZ,,,SHZ,reject_integrity
1,levent-00804,deep_moonquake_assigned,S14,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00810,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00810,deep_moonquake_assigned,S14,MH2;MHZ;SHZ,MH2;MHZ;SHZ,,,usable_integrity
1,levent-00820,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00820,deep_moonquake_assigned,S14,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
1,levent-00831,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00831,deep_moonquake_assigned,S14,MH2;MHZ;SHZ,MH2;MHZ;SHZ,,,usable_integrity
1,levent-00836,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00836,deep_moonquake_assigned,S14,MH2;MHZ;SHZ,MH2;MHZ;SHZ,,,usable_integrity
1,levent-00881,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00881,deep_moonquake_assigned,S14,SHZ,SHZ,,,usable_integrity
1,levent-00885,deep_moonquake_assigned,S12,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
1,levent-00885,deep_moonquake_assigned,S14,SHZ,SHZ,,,usable_integrity
1,levent-00899,natural_impact,S14,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00901,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00901,natural_impact,S14,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
1,levent-00924,natural_impact,S12,MH2;MHZ,,,MH2;MHZ,reject_integrity
1,levent-00924,natural_impact,S14,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
1,levent-00941,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00941,deep_moonquake_assigned,S14,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
1,levent-00971,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00971,deep_moonquake_assigned,S14,MH2;MHZ;SHZ,MH2;MHZ;SHZ,,,usable_integrity
1,levent-00986,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00986,natural_impact,S14,MH2;MHZ;SHZ,MH2;MHZ;SHZ,,,usable_integrity
1,levent-00988,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00988,deep_moonquake_assigned,S14,MH2;MHZ;SHZ,MH2;MHZ;SHZ,,,usable_integrity
1,levent-00991,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00991,natural_impact,S14,MH2;MHZ;SHZ,MH2;MHZ;SHZ,,,usable_integrity
1,levent-00997,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-00997,natural_impact,S14,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
1,levent-01013,natural_impact,S14,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
1,levent-01014,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-01014,deep_moonquake_assigned,S14,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
1,levent-01033,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-01033,deep_moonquake_assigned,S14,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
1,levent-01066,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-01066,deep_moonquake_assigned,S14,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
1,levent-01086,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-01086,natural_impact,S14,MH2;MHZ;SHZ,,,MH2;MHZ;SHZ,reject_integrity
1,levent-01117,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-01117,deep_moonquake_assigned,S14,MH2;MHZ;SHZ,MH2;MHZ;SHZ,,,usable_integrity
1,levent-01121,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-01121,deep_moonquake_assigned,S14,MH2;MHZ;SHZ,MH2;MHZ;SHZ,,,usable_integrity
1,levent-01136,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-01136,natural_impact,S14,MH2;MHZ;SHZ,MH2;MHZ;SHZ,,,usable_integrity
1,levent-01187,deep_moonquake_assigned,S14,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-01189,deep_moonquake_assigned,S14,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-01222,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-01222,natural_impact,S14,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
1,levent-01223,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-01223,natural_impact,S14,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
1,levent-01233,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-01233,natural_impact,S14,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
1,levent-01238,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-01238,natural_impact,S14,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
1,levent-01248,natural_impact,S14,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
1,levent-01267,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-01267,natural_impact,S14,MH2;MHZ;SHZ,MH2;MHZ;SHZ,,,usable_integrity
1,levent-01270,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-01270,natural_impact,S14,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
1,levent-01346,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-01346,natural_impact,S14,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
1,levent-01369,natural_impact,S14,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
1,levent-01386,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-01386,deep_moonquake_assigned,S14,MH2;MHZ;SHZ,MH2;MHZ;SHZ,,,usable_integrity
1,levent-01410,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
